Time_ps,Density_g_per_cm3
3.143000009370558345e+00,2.043873828199799458e+00
3.143500009372048876e+00,2.043873828199799458e+00
3.144000009373539406e+00,2.043873828199799458e+00
3.144500009375030380e+00,2.043873828199799458e+00
3.145000009376520911e+00,2.043873828199799458e+00
3.145500009378011885e+00,2.043873828199799458e+00
3.146000009379502416e+00,2.043873828199799458e+00
3.146500009380992946e+00,2.043873828199799458e+00
3.147000009382483920e+00,2.043873828199799458e+00
3.147500009383974451e+00,2.043873828199799458e+00
3.148000009385465425e+00,2.043873828199799458e+00
3.148500009386955956e+00,2.043873828199799458e+00
3.149000009388446486e+00,2.043873828199799458e+00
3.149500009389937460e+00,2.043873828199799458e+00
3.150000009391427991e+00,2.026917539647408617e+00
3.150500009392918521e+00,2.026917539647408617e+00
3.151000009394409496e+00,2.026917539647408617e+00
3.151500009395900026e+00,2.026917539647408617e+00
3.152000009397391000e+00,2.026917539647408617e+00
3.152500009398881531e+00,2.026917539647408617e+00
3.153000009400372061e+00,2.026917539647408617e+00
3.153500009401863036e+00,2.026917539647408617e+00
3.154000009403353566e+00,2.026917539647408617e+00
3.154500009404844540e+00,2.026917539647408617e+00
3.155000009406335071e+00,2.026917539647408617e+00
3.155500009407825601e+00,2.026917539647408617e+00
3.156000009409316576e+00,2.026917539647408617e+00
3.156500009410807106e+00,2.026917539647408617e+00
3.157000009412298080e+00,2.026917539647408617e+00
3.157500009413788611e+00,2.026917539647408617e+00
3.158000009415279141e+00,2.026917539647408617e+00
3.158500009416770116e+00,2.026917539647408617e+00
3.159000009418260646e+00,2.026917539647408617e+00
3.159500009419751176e+00,2.026917539647408617e+00
3.160000009421242151e+00,2.026917539647408617e+00
3.160500009422732681e+00,2.026917539647408617e+00
3.161000009424223656e+00,2.026917539647408617e+00
3.161500009425714186e+00,2.026917539647408617e+00
3.162000009427204716e+00,2.026917539647408617e+00
3.162500009428695691e+00,2.026917539647408617e+00
3.163000009430186221e+00,2.026917539647408617e+00
3.163500009431677196e+00,2.026917539647408617e+00
3.164000009433167726e+00,2.026917539647408617e+00
3.164500009434658256e+00,2.026917539647408617e+00
3.165000009436149231e+00,2.026917539647408617e+00
3.165500009437639761e+00,2.026917539647408617e+00
3.166000009439130736e+00,2.026917539647408617e+00
3.166500009440621266e+00,2.026917539647408617e+00
3.167000009442111796e+00,2.026917539647408617e+00
3.167500009443602771e+00,2.026917539647408617e+00
3.168000009445093301e+00,2.026917539647408617e+00
3.168500009446583832e+00,2.026917539647408617e+00
3.169000009448074806e+00,2.026917539647408617e+00
3.169500009449565336e+00,2.026917539647408617e+00
3.170000009451056311e+00,2.026917539647408617e+00
3.170500009452546841e+00,2.026917539647408617e+00
3.171000009454037372e+00,2.026917539647408617e+00
3.171500009455528346e+00,2.026917539647408617e+00
3.172000009457018876e+00,2.026917539647408617e+00
3.172500009458509851e+00,2.026917539647408617e+00
3.173000009460000381e+00,2.026917539647408617e+00
3.173500009461490912e+00,2.026917539647408617e+00
3.174000009462981886e+00,2.026917539647408617e+00
3.174500009464472416e+00,2.026917539647408617e+00
3.175000009465963391e+00,2.026917539647408617e+00
3.175500009467453921e+00,2.026917539647408617e+00
3.176000009468944452e+00,2.026917539647408617e+00
3.176500009470435426e+00,2.026917539647408617e+00
3.177000009471925956e+00,2.026917539647408617e+00
3.177500009473416487e+00,2.026917539647408617e+00
3.178000009474907461e+00,2.026917539647408617e+00
3.178500009476397992e+00,2.026917539647408617e+00
3.179000009477888966e+00,2.026917539647408617e+00
3.179500009479379496e+00,2.026917539647408617e+00
3.180000009480870027e+00,2.026917539647408617e+00
3.180500009482361001e+00,2.026917539647408617e+00
3.181000009483851532e+00,2.026917539647408617e+00
3.181500009485342506e+00,2.026917539647408617e+00
3.182000009486833036e+00,2.026917539647408617e+00
3.182500009488323567e+00,2.026917539647408617e+00
3.183000009489814541e+00,2.026917539647408617e+00
3.183500009491305072e+00,2.026917539647408617e+00
3.184000009492796046e+00,2.026917539647408617e+00
3.184500009494286576e+00,2.026917539647408617e+00
3.185000009495777107e+00,2.026917539647408617e+00
3.185500009497268081e+00,2.026917539647408617e+00
3.186000009498758612e+00,2.026917539647408617e+00
3.186500009500249142e+00,2.026917539647408617e+00
3.187000009501740116e+00,2.026917539647408617e+00
3.187500009503230647e+00,2.045089597832837836e+00
3.188000009504721621e+00,2.045089597832837836e+00
3.188500009506212152e+00,2.045089597832837836e+00
3.189000009507702682e+00,2.045089597832837836e+00
